"LSOA21CD","LSOA11CD","postcode_count","postcode_pct"
"E01000001","E01000001",51,0.927272727272727
"E01000001","E01000002",1,0.0181818181818182
"E01000001","E01032739",2,0.0363636363636364
"E01000001","E01032740",1,0.0181818181818182
"E01000002","E01000002",81,1
"E01000003","E01000003",35,1
"E01000005","E01000005",94,1
"E01000006","E01000006",14,1
"E01000007","E01000007",44,1
"E01000008","E01000008",21,1
"E01000009","E01000009",27,1
"E01000011","E01000011",12,1
"E01000012","E01000012",22,1
"E01000013","E01000013",27,1
"E01000014","E01000014",21,1
"E01000015","E01000015",33,1
"E01000016","E01000016",21,1
"E01000017","E01000017",21,1
"E01000018","E01000018",20,1
"E01000019","E01000019",17,1
"E01000020","E01000020",27,1
"E01000021","E01000021",22,1
"E01000022","E01000022",20,1
"E01000024","E01000024",17,1
"E01000025","E01000025",24,1
"E01000027","E01000027",36,1
"E01000028","E01000028",23,1
"E01000029","E01000029",25,1
"E01000030","E01000030",29,1
"E01000031","E01000031",29,1
"E01000032","E01000032",39,1
"E01000033","E01000033",17,1
"E01000034","E01000034",27,1
"E01000035","E01000035",32,1
"E01000036","E01000036",20,1
"E01000037","E01000037",20,1
"E01000038","E01000038",26,1
"E01000039","E01000039",21,1
"E01000040","E01000040",25,1
"E01000041","E01000041",19,1
"E01000042","E01000042",37,1
"E01000043","E01000043",21,1
"E01000044","E01000044",20,1
"E01000045","E01000045",29,1
"E01000046","E01000046",22,1
"E01000049","E01000048",2,0.0740740740740741
"E01000049","E01000049",25,0.925925925925926
"E01000050","E01000050",24,1
"E01000051","E01000051",26,1
"E01000052","E01000052",50,1
"E01000053","E01000053",23,1
"E01000054","E01000054",20,1
"E01000055","E01000055",22,1
"E01000056","E01000056",24,1
"E01000057","E01000057",16,1
"E01000058","E01000058",19,1
"E01000059","E01000059",19,1
"E01000060","E01000060",38,1
"E01000061","E01000061",30,1
"E01000062","E01000062",28,0.96551724137931
"E01000062","E01000065",1,0.0344827586206897
"E01000063","E01000063",20,1
"E01000064","E01000062",2,0.0625
"E01000064","E01000064",30,0.9375
"E01000065","E01000065",62,1
"E01000066","E01000066",25,1
"E01000067","E01000067",19,1
"E01000068","E01000068",19,1
"E01000069","E01000069",22,1
"E01000070","E01000070",31,1
"E01000071","E01000071",34,1
"E01000072","E01000072",27,0.964285714285714
"E01000072","E01000076",1,0.0357142857142857
"E01000073","E01000073",21,1
"E01000074","E01000074",19,1
"E01000075","E01000075",25,1
"E01000076","E01000076",21,1
"E01000077","E01000077",23,1
"E01000078","E01000078",21,1
"E01000079","E01000014",1,0.04
"E01000079","E01000079",24,0.96
"E01000080","E01000080",24,1
"E01000081","E01000081",18,1
"E01000082","E01000082",20,1
"E01000083","E01000083",21,1
"E01000084","E01000084",18,1
"E01000085","E01000085",20,1
"E01000086","E01000086",17,1
"E01000087","E01000087",23,1
"E01000088","E01000088",24,1
"E01000089","E01000089",14,1
"E01000090","E01000090",32,1
"E01000091","E01000091",26,0.962962962962963
"E01000091","E01000094",1,0.037037037037037
"E01000093","E01000092",1,0.0344827586206897
"E01000093","E01000093",28,0.96551724137931
"E01000094","E01000094",50,0.980392156862745
"E01000094","E01000095",1,0.0196078431372549
"E01000095","E01000092",1,0.0136986301369863
"E01000095","E01000095",72,0.986301369863014
"E01000096","E01000096",25,1
"E01000097","E01000097",21,0.954545454545455
"E01000097","E01000098",1,0.0454545454545455
"E01000098","E01000098",25,1
"E01000099","E01000099",40,1
"E01000100","E01000100",19,1
"E01000101","E01000101",22,1
"E01000102","E01000102",23,1
"E01000103","E01000103",31,1
"E01000104","E01000104",26,1
"E01000105","E01000105",38,1
"E01000106","E01000106",37,1
"E01000107","E01000107",19,1
"E01000108","E01000108",25,1
"E01000110","E01000110",23,1
"E01000111","E01000110",1,0.0344827586206897
"E01000111","E01000111",28,0.96551724137931
"E01000112","E01000112",33,1
"E01000113","E01000113",27,1
"E01000114","E01000114",34,1
"E01000115","E01000115",39,1
"E01000116","E01000116",30,1
"E01000117","E01000117",32,1
"E01000118","E01000118",29,1
"E01000119","E01000119",29,1
"E01000120","E01000116",1,0.04
"E01000120","E01000120",24,0.96
"E01000121","E01000121",28,1
"E01000122","E01000122",29,1
"E01000123","E01000123",31,0.96875
"E01000123","E01000124",1,0.03125
"E01000124","E01000124",35,1
"E01000126","E01000126",28,1
"E01000127","E01000127",23,1
"E01000128","E01000128",29,1
"E01000129","E01000129",50,1
"E01000130","E01000130",25,1
"E01000131","E01000131",30,1
"E01000132","E01000132",32,1
"E01000133","E01000133",31,1
"E01000134","E01000134",46,1
"E01000135","E01000135",38,1
"E01000136","E01000136",47,1
"E01000137","E01000137",31,1
"E01000138","E01000138",23,1
"E01000139","E01000139",43,1
"E01000140","E01000140",41,1
"E01000141","E01000141",52,1
"E01000142","E01000142",83,1
"E01000143","E01000143",31,1
"E01000144","E01000144",47,1
"E01000145","E01000145",33,1
"E01000146","E01000146",49,1
"E01000147","E01000147",33,0.942857142857143
"E01000147","E01000148",2,0.0571428571428571
"E01000150","E01000150",45,1
"E01000151","E01000151",41,0.976190476190476
"E01000151","E01000154",1,0.0238095238095238
"E01000152","E01000152",50,1
"E01000153","E01000153",35,1
"E01000154","E01000154",56,1
"E01000156","E01000156",30,1
"E01000157","E01000157",29,1
"E01000158","E01000158",30,1
"E01000159","E01000159",38,1
"E01000160","E01000160",32,1
"E01000161","E01000160",1,0.0222222222222222
"E01000161","E01000161",44,0.977777777777778
"E01000162","E01000162",32,1
"E01000163","E01000163",30,1
"E01000164","E01000164",32,1
"E01000165","E01000160",1,0.0232558139534884
"E01000165","E01000165",42,0.976744186046512
"E01000166","E01000166",39,1
"E01000167","E01000167",28,1
"E01000168","E01000168",26,1
"E01000169","E01000169",36,0.972972972972973
"E01000169","E01000170",1,0.027027027027027
"E01000170","E01000170",41,0.976190476190476
